ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",38292,920148,1978
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",41089,707549,1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",43437,1679273,2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",43741,1300514,1988
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",43686,1336920,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",38629,920760,1954
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",33786,1707925,1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",43822,1335258,2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",42513,1065696,1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",20883,936468,1995
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",34850,60086,1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",30741,60667,1904/1946/1959
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",45217,1397187,1998
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",41157,1489393,2007
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",38040,36270,1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20883,101778,1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",40725,1510295,2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",43647,1278021,2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",35944,1048286,1927
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",32020,62709,1905
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",41822,916076,1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",29767,62996,1929
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",39647,1141391,1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",44459,891103,1986
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",37700,63754,1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",25749,63908,1940
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",36173,927653,1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",31716,1613103,1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",20883,310158,1891
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",41631,1326801,2004
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",36871,1099219,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",42619,1037646,1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",42942,789570,1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",39332,827054,1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",34604,723125,1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",34486,789019,1975
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",42706,912595,1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",44398,1682852,2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",41631,851968,1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",44622,1179929,1980
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",27941,24545,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",41184,1103982,2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",44239,1280452,1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",41088,865752,2012 (1935)
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",35977,1059556,1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",34179,895421,1935
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",40812,1285785,2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",20883,68505,1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",43194,1408198,1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",39743,1120193,1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",36336,1002047,1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",40532,1065280,1997
NEM,Newmont,Materials,Gold,"Denver, Colorado",25384,1164727,1921
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",41487,1564708,2013 (News Corporation 1980)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",42265,1564708,2013 (News Corporation 1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",27941,753308,1984 (1925)
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",32477,320187,1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",36832,1111711,1912
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",44607,72331,1935
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",20883,702165,1881/1894 (1980)
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",35825,73124,1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",20883,1133421,"1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",43021,1513761,2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",40207,1013871,1992
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",31167,73309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",37225,1045810,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",43734,906163,1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",44277,1413447,1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",39899,898173,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20883,797468,1920
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",43808,878927,1934
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",35795,29989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",44733,1097864,1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",40252,1039684,1906
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",32751,1341439,1977
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",43924,1781335,"2020 (1853, United Technologies spinoff)"
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",29586,75362,1905
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",42942,75677,1959
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",45097,1327567,2005
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",34607,813828,2019 (Paramount Pictures 1912)
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",31381,76334,1917
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",36069,723531,1971
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",43858,1590955,1998
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",42205,1633917,1998
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",41183,77360,1966
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",20883,77476,1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",20883,78003,1849
PCG,PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",44837,1004980,1905
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",39538,1413329,2008 (1847)
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",41030,1534701,2012 (1917)
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",36437,764622,1985
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",39715,1038357,1997
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",32263,713676,1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",44111,945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",20883,79879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",37165,922224,1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",37459,1126328,1879
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",20883,80424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",35646,80661,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",37819,1045609,1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",37459,1137774,1875
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",20883,788784,1903
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",44306,857005,1985
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",38583,1393311,1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30802,822416,1956
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",42166,1604778,2015
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",39995,1050915,1997
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",36363,804328,1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",37602,1022079,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",39115,1037038,1967
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",42814,720005,1962
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",20883,101829,1922
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",42101,726728,1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",42796,910606,1963
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",41395,872589,1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",36035,1281761,1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",39787,1060391,1998 (1981)
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",42942,943819,1989
RVTY,Revvity (Previously PerkinElmer),Health Care,Health Care Equipment,"Waltham, Massachusetts",31198,31791,1937
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",36865,315213,1948
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",36597,1024478,1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",43374,84839,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",40170,882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",40168,745732,1982
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",41978,884887,1997
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",20883,64040,1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",39706,1108524,1999
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",42979,1034054,1989
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",20883,87347,1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",41092,1137789,1979
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",42811,1032208,1998
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",43790,1373715,2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",23558,89800,1866
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",37433,1063761,2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",42075,4127,2002
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",39758,91419,1897
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",30224,91440,1920
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",20883,92122,1945
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",34516,92380,1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",30224,93556,1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",36684,829224,1971
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",37694,93751,1792
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",44917,1022671,1993
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",43822,1757898,1985
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",36872,310764,1941
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",42326,1601712,2003
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",42810,883241,1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",31777,96021,1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",43661,1283699,1994
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",43675,1113169,1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",43178,946581,1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",38231,1116132,2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",44846,1389170,2005
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",28125,27419,1902
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",40833,1385157,2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",44004,1094285,1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",43483,96943,1943
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",44095,97210,1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",44186,1318605,2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",36962,97476,1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",28855,217346,1923
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",38202,97745,2006 (1902)
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",31320,109198,1987
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",41663,916365,1938
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",40499,1466258,1871
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",42524,1260221,1993
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",37489,86312,1853
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",44217,864749,1978
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",35768,92230,1872
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",44004,860731,1966
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",38574,100493,1935
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",36465,36104,1968
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",45278,1543151,2009
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",42436,74208,1972
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",42478,1403568,1990
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",20883,100885,1862
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",42250,100517,1967
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",37459,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",41902,1067701,1997
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",34516,731766,1977
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",41902,352915,1979
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",37610,1035002,1980
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",39876,740260,1998
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",45201,1967680,2023 (Danaher spinoff)
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",38749,1014473,1995
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",42285,1442145,1971
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",30650,732712,1983 (1877)
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",41540,875320,1989
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",29036,103379,1899
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",38100,1792044,1961
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",44720,1705696,2017
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",40168,1403161,1958
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",36341,1396009,1909
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",43804,11544,1967
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",43523,943452,1999 (1869)
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",29220,1618921,2014
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",30194,104169,1962
DIS,Walt Disney,Communication Services,Movies & Entertainment,"Burbank, California",27941,1744489,1923
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",44662,1437107,2022 (Warner Bros. 1923)
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",36038,823768,1968
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",37258,1000697,1958
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",39752,783325,1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",27941,72971,1852
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",39843,766704,1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",43973,105770,1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",39995,106040,1970
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",42180,1732845,2015
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",29129,106535,1900
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",21275,106640,1911
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",27484,107263,1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",42374,1140536,2016
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",29767,277135,1927
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",39766,1174922,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",20883,72903,1909
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",40848,1524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",35709,1041061,1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",43822,877212,1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",37110,1136869,1927
ZION,Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah",37064,109380,1873
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",41446,1555280,1952
